rid,road_level,ori,des,lnglat_seq,parents,children
0VB2A07KK200VB3P07KJU00,44000,0VB2A07KK20,0VB3P07KJU0,"102.714709,25.049759;102.715854,25.049634;102.716702,25.049558;102.716746,25.049554;102.7171,25.049529;102.71718,25.049524;102.717304,25.049522;102.718727,25.049508;102.718908,25.049504;102.719169,25.049494;102.719384,25.049459","['0VB3P07KJU00VB2A07KK300', '0VB3P07KJU00VB3P07KJ800', '0VB3P07KJU00VB3P07KKM00', '0VB3P07KJU00VB2A07KK200', '0VB3P07KJU00VB4K07KJT00']","['0VB2C07KJM10VB2A07KK200', '0VB2D07KKN00VB2A07KK200', '0VB3P07KJU00VB2A07KK200', '0VB2J07KK300VB2A07KK200', '0VB1M07KK400VB2A07KK200']"
0VB1A07KHL00VB1A07KHN00,47000,0VB1A07KHL0,,"102.711354,25.042085;102.711361,25.042271",[],"['0VB1A07KHN00VB1A07KHL00', '0VB2007KHM00VB1A07KHL00']"
0VAU407KH900VAVC07KG700,44000,,0VAVC07KG70,"102.70117,25.040889;102.701973,25.040142;102.70211,25.040009;102.702408,25.039721;102.702708,25.039432;102.702933,25.03922;102.703159,25.039008;102.703566,25.038627;102.703957,25.038251;102.704005,25.038208;102.704266,25.03796;102.70437,25.037876;102.704506,25.037789;102.704635,25.037724;102.70469,25.037696;102.704744,25.037669;102.70489,25.037597;102.704935,25.037573;102.705131,25.037475","['0VAVC07KG700VAV507KG100', '0VAVC07KG700VAUD07KH200', '0VAVC07KG700VAVE07KGI00', '0VAVC07KG700VB2D07KGC00']",[]
0VB3T07KGD00VB3V07KF000,44000,0VB3T07KGD0,0VB3V07KF00,"102.719675,25.03806;102.719683,25.037889;102.71969,25.037783;102.719732,25.037122;102.719842,25.034197;102.719865,25.033602","['0VB3V07KF000VB4607KF000', '0VB3V07KF000VB3V07KFJ00', '0VB3V07KF000VB4S07KEV00', '0VB3V07KF000VB3107KEU00', '0VB3V07KF000VB4507KD800']","['0VB3K07KGD00VB3T07KGD00', '0VB3N07KGD00VB3T07KGD00', '0VB3R07KHP00VB3T07KGD00', '0VB4J07KGE00VB3T07KGD00', '0VB3V07KFJ00VB3T07KGD00']"
0VB4K07KJT00VB4Q07KJU01,47000,,0VB4Q07KJU0,"102.721965,25.049269;102.721985,25.049269;102.722071,25.049275;102.722274,25.049294;102.722331,25.0493;102.722441,25.049318;102.722642,25.049374","['0VB4Q07KJU00VB4S07KJS00', '0VB4Q07KJU00VB4U07KK000', '0VB4Q07KJU00VB4507KJU00', '0VB4Q07KJU00VB4U07KK001']",[]
0VB2A07KK200VB0P07KK700,45000,0VB2A07KK20,,"102.714651,25.049827;102.714479,25.049844;102.714272,25.049868;102.713292,25.049964;102.712638,25.050029;102.712174,25.05008;102.71204,25.050095;102.711696,25.050133;102.711659,25.050137;102.711474,25.050157;102.710751,25.050235;102.709753,25.050356",[],"['0VB2C07KJM10VB2A07KK200', '0VB2D07KKN00VB2A07KK200', '0VB3P07KJU00VB2A07KK200', '0VB2J07KK300VB2A07KK200', '0VB1M07KK400VB2A07KK200']"
0VB3P07KJU00VB2A07KK300,44000,0VB3P07KJU0,,"102.719383,25.049508;102.719185,25.049541;102.719098,25.049544;102.71893,25.049552;102.718736,25.049554;102.717238,25.049584;102.716933,25.049601;102.716321,25.049656;102.715844,25.049702;102.71551,25.049736;102.714721,25.049815",[],"['0VB2A07KK200VB3P07KJU00', '0VB4507KJU00VB3P07KJU00', '0VB4507KJU00VB3P07KJU01', '0VB2A07KK300VB3P07KJU00', '0VB3R07KIT00VB3P07KJU00', '0VB3L07KJU00VB3P07KJU00', '0VB3P07KKH00VB3P07KJU00']"
0VB3P07KKU00VB3P07KKM00,44000,,0VB3P07KKM0,"102.719378,25.052534;102.719388,25.051758","['0VB3P07KKM00VB3P07KKH00', '0VB3P07KKM00VB3R07KLC00', '0VB3P07KKM00VB3T07KKM00']",[]
0VB8C07KI800VB7U07KI700,44000,,0VB7U07KI70,"102.733987,25.043942;102.73328,25.043941;102.733002,25.043946;102.732667,25.043951","['0VB7U07KI700VB9907KI600', '0VB7U07KI700VB7U07KI100', '0VB7U07KI700VB7807KI500', '0VB7U07KI700VB7F07KJ200', '0VB7U07KI700VB8607KHG00']",[]
0VB2N07KH200VB2Q07KGD00,44000,0VB2N07KH20,0VB2Q07KGD0,"102.715898,25.040138;102.716028,25.039301;102.716095,25.038739;102.716172,25.038105","['0VB2Q07KGD00VAVC07KG700', '0VB2Q07KGD00VB3107KG110', '0VB2Q07KGD00VB3N07KGD00', '0VB2Q07KGD00VB2R07KFU00', '0VB2Q07KGD00VB3K07KGD00', '0VB2Q07KGD00VB2N07KH200']","['0VB2L07KHE00VB2N07KH200', '0VB2D07KH000VB2N07KH200', '0VB2T07KGQ00VB2N07KH200', '0VB2Q07KGD00VB2N07KH200']"
